tag,c,L,t,rho,se,n,seconds
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008484119468686817,3.2935609336929935e-05,781460,1800.4
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008101648006038495,3.1912030644195855e-05,794900,1800.4
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008400073044113427,3.308701946604476e-05,766660,1800.4
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007940427301554296,3.2110774160689116e-05,769480,1800.4
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007854862413216439,3.153349471699842e-05,789320,1800.5
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.000840566696597825,3.2363808848768645e-05,801840,1800.4
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007934918648310388,3.150108239576043e-05,799000,1801.0
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008170969956175088,3.2828480864414474e-05,757560,1800.6
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008016322232460182,3.2470754331088396e-05,759700,1800.7
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008350817137809187,3.393672076574323e-05,724480,1800.7
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007921369151698193,3.238005501131356e-05,754920,1800.4
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007393612585818717,3.204352347705555e-05,719540,1801.0
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.000814666816749212,3.384260384809468e-05,710720,1800.7
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007688032604668396,3.188307072779249e-05,755720,1800.8
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.000848857972868527,3.3618699595833436e-05,750420,1800.8
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007768809058100774,3.269987800224697e-05,725980,1800.5
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.000789992462457239,3.382619000128515e-05,689880,1800.6
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008245722531436817,3.48301685217585e-05,679140,1800.6
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0007497592516164534,3.210411578738536e-05,726900,1800.6
2^10^18,0.5,1.3862943611198907e+18,41.773165933871105,0.0008126788419458004,4.621289446293142e-05,380224,977.4
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006388037468847576,3.0238571211084964e-05,698180,1800.5
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006462469596696645,3.0220388057910464e-05,707160,1800.5
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006303316155705011,3.0282255855346023e-05,686940,1800.6
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006634545041749704,2.891839327765168e-05,792820,1800.6
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006196120689655173,2.818458953298311e-05,779520,1800.5
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006768679349324511,3.053628252132371e-05,725400,1800.5
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006653530940346669,3.081163147194392e-05,700380,1800.8
2^10^18,0.75,1.3862943611198907e+18,41.773165933871105,0.0006527376672364,3.100237930869812e-05,678680,1800.6
